corrida,semilla,tiempo_ms,pct_cumplimiento,costo_total,escalas_promedio
1,1,3295,100.0000,14025777,0.0100
2,2,2627,100.0000,14029717,0.0100
3,3,2575,100.0000,14035386,0.0100
4,4,2600,99.9950,14071338,0.0100
5,5,2686,100.0000,14038686,0.0100
6,6,2674,100.0000,14025403,0.0100
7,7,2688,100.0000,14034764,0.0100
8,8,2655,100.0000,14035718,0.0100
9,9,2625,100.0000,14025593,0.0100
10,10,2616,100.0000,14039661,0.0100
11,11,2661,100.0000,14031301,0.0100
12,12,2608,100.0000,14037503,0.0100
13,13,2652,100.0000,14033445,0.0100
14,14,2657,100.0000,14031363,0.0100
15,15,2641,100.0000,14032355,0.0100
